rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,mode,interval,data1,data2,data3,data4
1569261685348608074,,132805,,1569261685,348381042,"""force_sensor_frame""","""0""",0.0,-23.0,103.0,-5.0,118.0
1569261685359786314,,132806,,1569261685,359488010,"""force_sensor_frame""","""0""",0.0,-31.0,95.0,-11.0,115.0
1569261685370782455,,132807,,1569261685,370488882,"""force_sensor_frame""","""0""",0.0,-28.0,93.0,-2.0,100.0
1569261685381631529,,132808,,1569261685,381360054,"""force_sensor_frame""","""0""",0.0,-45.0,87.0,0.0,105.0
1569261685392680838,,132809,,1569261685,392385005,"""force_sensor_frame""","""0""",0.0,-38.0,90.0,-6.0,104.0
1569261685403597520,,132810,,1569261685,403323888,"""force_sensor_frame""","""0""",0.0,-44.0,86.0,6.0,107.0
1569261685414650726,,132811,,1569261685,414331912,"""force_sensor_frame""","""0""",0.0,-42.0,95.0,-2.0,119.0
1569261685425580522,,132812,,1569261685,425280094,"""force_sensor_frame""","""0""",0.0,-38.0,93.0,3.0,99.0
1569261685435644977,,132813,,1569261685,435358047,"""force_sensor_frame""","""0""",0.0,-39.0,87.0,-13.0,106.0
1569261685446563111,,132814,,1569261685,446280002,"""force_sensor_frame""","""0""",0.0,-43.0,85.0,9.0,103.0
1569261685456586019,,132815,,1569261685,456299066,"""force_sensor_frame""","""0""",0.0,-33.0,92.0,-2.0,115.0
1569261685466581565,,132816,,1569261685,466291904,"""force_sensor_frame""","""0""",0.0,-39.0,85.0,1.0,105.0
1569261685476522860,,132817,,1569261685,476233959,"""force_sensor_frame""","""0""",0.0,-42.0,86.0,6.0,107.0
1569261685486517835,,132818,,1569261685,486218929,"""force_sensor_frame""","""0""",0.0,-40.0,84.0,9.0,102.0
1569261685496520555,,132819,,1569261685,496232032,"""force_sensor_frame""","""0""",0.0,-31.0,81.0,4.0,102.0
1569261685506517183,,132820,,1569261685,506222963,"""force_sensor_frame""","""0""",0.0,-28.0,88.0,6.0,104.0
1569261685516527738,,132821,,1569261685,516226053,"""force_sensor_frame""","""0""",0.0,-33.0,91.0,4.0,102.0
1569261685526481486,,132822,,1569261685,526190042,"""force_sensor_frame""","""0""",0.0,-33.0,87.0,12.0,96.0
1569261685536460511,,132823,,1569261685,536166906,"""force_sensor_frame""","""0""",0.0,-35.0,81.0,13.0,89.0
1569261685548284311,,132824,,1569261685,546197891,"""force_sensor_frame""","""0""",0.0,-22.0,81.0,17.0,94.0
1569261685556414384,,132825,,1569261685,556169033,"""force_sensor_frame""","""0""",0.0,-34.0,89.0,9.0,94.0
1569261685566442892,,132826,,1569261685,566159009,"""force_sensor_frame""","""0""",0.0,-28.0,82.0,8.0,94.0
1569261685576515994,,132827,,1569261685,576211929,"""force_sensor_frame""","""0""",0.0,-31.0,89.0,18.0,90.0
1569261685586426651,,132828,,1569261685,586131095,"""force_sensor_frame""","""0""",0.0,-27.0,86.0,11.0,88.0
1569261685596579672,,132829,,1569261685,596252918,"""force_sensor_frame""","""0""",0.0,-25.0,79.0,11.0,90.0
1569261685607547710,,132830,,1569261685,607234954,"""force_sensor_frame""","""0""",0.0,-32.0,87.0,10.0,91.0
1569261685618495519,,132831,,1569261685,618220090,"""force_sensor_frame""","""0""",0.0,-23.0,86.0,10.0,90.0
1569261685629521344,,132832,,1569261685,629100084,"""force_sensor_frame""","""0""",0.0,-20.0,82.0,15.0,87.0
1569261685639572355,,132833,,1569261685,639091968,"""force_sensor_frame""","""0""",0.0,-26.0,82.0,19.0,86.0
1569261685649525221,,132834,,1569261685,649121046,"""force_sensor_frame""","""0""",0.0,-25.0,98.0,17.0,86.0
1569261685659437020,,132835,,1569261685,659112930,"""force_sensor_frame""","""0""",0.0,-11.0,112.0,11.0,83.0
1569261685669418150,,132836,,1569261685,669120073,"""force_sensor_frame""","""0""",0.0,-17.0,142.0,18.0,101.0
1569261685679453621,,132837,,1569261685,679100036,"""force_sensor_frame""","""0""",0.0,-11.0,131.0,17.0,105.0
1569261685689570625,,132838,,1569261685,689203977,"""force_sensor_frame""","""0""",0.0,-19.0,115.0,19.0,95.0
1569261685700550164,,132839,,1569261685,700103044,"""force_sensor_frame""","""0""",0.0,-19.0,116.0,18.0,91.0
1569261685710439461,,132840,,1569261685,710089921,"""force_sensor_frame""","""0""",0.0,-22.0,104.0,20.0,91.0
1569261685720484950,,132841,,1569261685,720081090,"""force_sensor_frame""","""0""",0.0,-28.0,106.0,21.0,97.0
1569261685730443919,,132842,,1569261685,730046987,"""force_sensor_frame""","""0""",0.0,-22.0,106.0,21.0,94.0
1569261685740345970,,132843,,1569261685,740029096,"""force_sensor_frame""","""0""",0.0,-24.0,113.0,21.0,95.0
1569261685752389141,,132844,,1569261685,750029087,"""force_sensor_frame""","""0""",0.0,-19.0,122.0,15.0,100.0
1569261685760440556,,132845,,1569261685,760035037,"""force_sensor_frame""","""0""",0.0,-18.0,118.0,8.0,96.0
1569261685770412839,,132846,,1569261685,770056962,"""force_sensor_frame""","""0""",0.0,-12.0,118.0,11.0,104.0
1569261685780418113,,132847,,1569261685,780009031,"""force_sensor_frame""","""0""",0.0,-16.0,110.0,13.0,98.0
1569261685790423208,,132848,,1569261685,790007114,"""force_sensor_frame""","""0""",0.0,-19.0,119.0,9.0,98.0
1569261685800371205,,132849,,1569261685,800019979,"""force_sensor_frame""","""0""",0.0,-17.0,113.0,10.0,101.0
1569261685810331195,,132850,,1569261685,809990882,"""force_sensor_frame""","""0""",0.0,-15.0,125.0,8.0,105.0
1569261685820370723,,132851,,1569261685,819988965,"""force_sensor_frame""","""0""",0.0,-5.0,139.0,6.0,113.0
1569261685830279347,,132852,,1569261685,829936027,"""force_sensor_frame""","""0""",0.0,3.0,155.0,3.0,116.0
1569261685840256138,,132853,,1569261685,839948892,"""force_sensor_frame""","""0""",0.0,7.0,171.0,6.0,120.0
1569261685850268747,,132854,,1569261685,850003957,"""force_sensor_frame""","""0""",0.0,1.0,184.0,-3.0,132.0
1569261685860419874,,132855,,1569261685,860050916,"""force_sensor_frame""","""0""",0.0,24.0,192.0,-6.0,134.0
1569261685871397169,,132856,,1569261685,871026992,"""force_sensor_frame""","""0""",0.0,20.0,203.0,-8.0,130.0
1569261685882307939,,132857,,1569261685,881926059,"""force_sensor_frame""","""0""",0.0,23.0,207.0,-10.0,134.0
1569261685892222744,,132858,,1569261685,891931056,"""force_sensor_frame""","""0""",0.0,16.0,206.0,-9.0,120.0
1569261685902327535,,132859,,1569261685,901959896,"""force_sensor_frame""","""0""",0.0,23.0,212.0,-13.0,136.0
1569261685912265443,,132860,,1569261685,911917924,"""force_sensor_frame""","""0""",0.0,21.0,211.0,-19.0,144.0
1569261685922303059,,132861,,1569261685,921909093,"""force_sensor_frame""","""0""",0.0,28.0,216.0,-13.0,138.0
1569261685932134939,,132862,,1569261685,931904077,"""force_sensor_frame""","""0""",0.0,30.0,211.0,-8.0,138.0
1569261685942304721,,132863,,1569261685,941931962,"""force_sensor_frame""","""0""",0.0,32.0,224.0,-10.0,135.0
1569261685954092693,,132864,,1569261685,951917886,"""force_sensor_frame""","""0""",0.0,40.0,243.0,-25.0,138.0
1569261685962176490,,132865,,1569261685,961916923,"""force_sensor_frame""","""0""",0.0,51.0,259.0,-28.0,152.0
1569261685972175483,,132866,,1569261685,971889972,"""force_sensor_frame""","""0""",0.0,56.0,268.0,-30.0,153.0
1569261685982179255,,132867,,1569261685,981894016,"""force_sensor_frame""","""0""",0.0,51.0,273.0,-28.0,150.0
1569261685992099721,,132868,,1569261685,991857051,"""force_sensor_frame""","""0""",0.0,43.0,279.0,-21.0,137.0
1569261686002311772,,132869,,1569261686,1898050,"""force_sensor_frame""","""0""",0.0,40.0,256.0,-15.0,136.0
1569261686012164732,,132870,,1569261686,11838912,"""force_sensor_frame""","""0""",0.0,35.0,250.0,-5.0,139.0
1569261686022257289,,132871,,1569261686,21872043,"""force_sensor_frame""","""0""",0.0,29.0,239.0,-8.0,136.0
1569261686032161314,,132872,,1569261686,31821966,"""force_sensor_frame""","""0""",0.0,19.0,233.0,4.0,129.0
1569261686042174794,,132873,,1569261686,41821002,"""force_sensor_frame""","""0""",0.0,9.0,219.0,7.0,129.0
1569261686052140094,,132874,,1569261686,51812887,"""force_sensor_frame""","""0""",0.0,9.0,210.0,10.0,127.0
1569261686062150839,,132875,,1569261686,61808109,"""force_sensor_frame""","""0""",0.0,3.0,206.0,17.0,127.0
1569261686072075062,,132876,,1569261686,71835994,"""force_sensor_frame""","""0""",0.0,0.0,202.0,8.0,127.0
1569261686082126402,,132877,,1569261686,81765890,"""force_sensor_frame""","""0""",0.0,-2.0,189.0,15.0,123.0
1569261686092187742,,132878,,1569261686,91824054,"""force_sensor_frame""","""0""",0.0,-4.0,192.0,12.0,140.0
1569261686102272555,,132879,,1569261686,101870059,"""force_sensor_frame""","""0""",0.0,-1.0,195.0,16.0,118.0
1569261686113203634,,132880,,1569261686,112854003,"""force_sensor_frame""","""0""",0.0,5.0,193.0,9.0,121.0
1569261686123189972,,132881,,1569261686,122853040,"""force_sensor_frame""","""0""",0.0,4.0,203.0,5.0,126.0
1569261686133093436,,132882,,1569261686,132742881,"""force_sensor_frame""","""0""",0.0,0.0,199.0,10.0,124.0
1569261686143051182,,132883,,1569261686,142714023,"""force_sensor_frame""","""0""",0.0,8.0,208.0,0.0,129.0
1569261686154914385,,132884,,1569261686,152734994,"""force_sensor_frame""","""0""",0.0,6.0,203.0,-5.0,126.0
1569261686163090805,,132885,,1569261686,162755966,"""force_sensor_frame""","""0""",0.0,11.0,203.0,-6.0,123.0
1569261686173069541,,132886,,1569261686,172728061,"""force_sensor_frame""","""0""",0.0,5.0,187.0,2.0,111.0
1569261686183157369,,132887,,1569261686,182807922,"""force_sensor_frame""","""0""",0.0,3.0,193.0,-4.0,128.0
1569261686194091934,,132888,,1569261686,193716049,"""force_sensor_frame""","""0""",0.0,-6.0,171.0,5.0,121.0
1569261686204057755,,132889,,1569261686,203718900,"""force_sensor_frame""","""0""",0.0,-12.0,159.0,0.0,107.0
1569261686214058390,,132890,,1569261686,213727951,"""force_sensor_frame""","""0""",0.0,-22.0,136.0,5.0,101.0
1569261686223972785,,132891,,1569261686,223690986,"""force_sensor_frame""","""0""",0.0,-28.0,130.0,16.0,96.0
1569261686234108584,,132892,,1569261686,233728885,"""force_sensor_frame""","""0""",0.0,-35.0,121.0,13.0,96.0
1569261686244004203,,132893,,1569261686,243669033,"""force_sensor_frame""","""0""",0.0,-32.0,134.0,11.0,98.0
1569261686253964934,,132894,,1569261686,253665924,"""force_sensor_frame""","""0""",0.0,-32.0,123.0,14.0,104.0
1569261686264058675,,132895,,1569261686,263700962,"""force_sensor_frame""","""0""",0.0,-28.0,121.0,9.0,102.0
1569261686274006431,,132896,,1569261686,273660898,"""force_sensor_frame""","""0""",0.0,-31.0,124.0,13.0,99.0
1569261686283936745,,132897,,1569261686,283647060,"""force_sensor_frame""","""0""",0.0,-36.0,124.0,14.0,102.0
1569261686294047277,,132898,,1569261686,293678045,"""force_sensor_frame""","""0""",0.0,-33.0,113.0,12.0,103.0
1569261686303974465,,132899,,1569261686,303633928,"""force_sensor_frame""","""0""",0.0,-33.0,129.0,13.0,105.0
1569261686313883359,,132900,,1569261686,313636064,"""force_sensor_frame""","""0""",0.0,-30.0,121.0,11.0,107.0
1569261686324079151,,132901,,1569261686,323652029,"""force_sensor_frame""","""0""",0.0,-36.0,123.0,7.0,107.0
1569261686334027909,,132902,,1569261686,333652019,"""force_sensor_frame""","""0""",0.0,-40.0,118.0,4.0,109.0
1569261686343888824,,132903,,1569261686,343619108,"""force_sensor_frame""","""0""",0.0,-44.0,124.0,5.0,113.0
1569261686355842447,,132904,,1569261686,353683948,"""force_sensor_frame""","""0""",0.0,-41.0,123.0,4.0,111.0
1569261686365047061,,132905,,1569261686,364691972,"""force_sensor_frame""","""0""",0.0,-45.0,124.0,4.0,118.0
1569261686375997255,,132906,,1569261686,375720024,"""force_sensor_frame""","""0""",0.0,-47.0,124.0,-2.0,114.0
1569261686386906944,,132907,,1569261686,386636972,"""force_sensor_frame""","""0""",0.0,-46.0,125.0,-5.0,120.0
1569261686396897681,,132908,,1569261686,396614074,"""force_sensor_frame""","""0""",0.0,-50.0,122.0,2.0,119.0
1569261686406958199,,132909,,1569261686,406615018,"""force_sensor_frame""","""0""",0.0,-56.0,124.0,-3.0,125.0
1569261686417024237,,132910,,1569261686,416630983,"""force_sensor_frame""","""0""",0.0,-51.0,126.0,-2.0,125.0
1569261686427977617,,132911,,1569261686,427640914,"""force_sensor_frame""","""0""",0.0,-53.0,128.0,4.0,124.0
1569261686438960061,,132912,,1569261686,438643932,"""force_sensor_frame""","""0""",0.0,-53.0,128.0,-3.0,123.0
1569261686449882493,,132913,,1569261686,449562072,"""force_sensor_frame""","""0""",0.0,-55.0,124.0,0.0,125.0
1569261686460063247,,132914,,1569261686,459567070,"""force_sensor_frame""","""0""",0.0,-45.0,123.0,0.0,130.0
